epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
190,1100.49,0.16462,0.16798,0.87835,0.99878,0.96296,0.99278,0.98834,0.1465,0.13684,0.73227,0.0001289,0.0001289,0.0001289
191,1107.02,0.13625,0.19467,0.84972,0.99982,0.96296,0.99382,0.99134,0.13246,0.12162,0.72213,0.000119,0.000119,0.000119
192,1112.79,0.13555,0.16567,0.8551,0.98763,0.98558,0.99406,0.99206,0.1218,0.12165,0.71882,0.0001091,0.0001091,0.0001091
193,1118.56,0.11558,0.13031,0.83143,0.98754,0.98765,0.99416,0.99208,0.12753,0.12772,0.72194,9.92e-05,9.92e-05,9.92e-05
194,1124.32,0.12902,0.14476,0.83441,1,0.96219,0.99404,0.99194,0.13366,0.13069,0.72362,8.93e-05,8.93e-05,8.93e-05
195,1130.07,0.12998,0.15026,0.82233,0.98689,0.96296,0.9938,0.99085,0.12674,0.12424,0.72177,7.94e-05,7.94e-05,7.94e-05
196,1135.84,0.12852,0.13962,0.86136,0.98707,0.96296,0.99391,0.99104,0.12955,0.11866,0.72174,6.95e-05,6.95e-05,6.95e-05
197,1141.6,0.115,0.13965,0.82334,0.97556,0.98554,0.99349,0.98978,0.13531,0.12315,0.72281,5.96e-05,5.96e-05,5.96e-05
198,1147.35,0.11989,0.12934,0.84914,0.97386,0.98765,0.99112,0.98468,0.13619,0.12861,0.72433,4.97e-05,4.97e-05,4.97e-05
199,1153.11,0.1158,0.12222,0.83864,0.99923,0.96296,0.99093,0.98598,0.13723,0.12869,0.72617,3.98e-05,3.98e-05,3.98e-05
200,1158.87,0.1153,0.1251,0.81432,1,0.97354,0.99124,0.98481,0.13639,0.1241,0.72623,2.99e-05,2.99e-05,2.99e-05
